flag,derived_from_rule_output,ecgs_flag_on,prevalence_pct,statement_flag_prevalence_note
rhythm_afib_flag,AFib,2,0.009,see 12sl_gt / statements (different source)
rhythm_aflutter_flag,AtrialFlutter,0,0.0,see 12sl_gt / statements (different source)
rhythm_sinus_flag,SinusRhythm,19566,89.756,see 12sl_gt / statements (different source)
paced_flag,Pacing,0,0.0,see 12sl_gt / statements (different source)
wpw_flag,WPW,50,0.229,see 12sl_gt / statements (different source)
lbbb_flag,LBBB,1087,4.986,see 12sl_gt / statements (different source)
rbbb_flag,RBBB,660,3.028,see 12sl_gt / statements (different source)
ilbbb_flag,IncompleteBundleBlocks.ILBBB,260,1.193,see 12sl_gt / statements (different source)
irbbb_flag,IncompleteBundleBlocks.IRBBB,415,1.904,see 12sl_gt / statements (different source)
lafb_flag,Hemiblocks.LAFB,543,2.491,see 12sl_gt / statements (different source)
lpfb_flag,Hemiblocks.LPFB,0,0.0,see 12sl_gt / statements (different source)
ivcb_flag,"NonspecificIVCB, Hemiblocks.IVCD_nonspecific",0,0.0,see 12sl_gt / statements (different source)
rvh_flag,RVH,0,0.0,see 12sl_gt / statements (different source)
