disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
PRInterval,"FAV,SPR",1343,20456,1343,3,0,20453,1.0,0.9998533437622213,0.9977711738484398,1.0,0.9988843436221644,0.9998623790082114,0.9999266718811106,0.9988855869242199,0.061608330657369606,0.06174595164915822,1346
SinusRhythm,"MSBRAD,NSR,SBRAD,SRTH,STACH",19634,2165,19415,151,219,2014,0.9888458795966181,0.9302540415704388,0.9922825309209854,0.9019256605463501,0.9905612244897959,0.983026744346071,0.9595499605835285,0.995587371459086,0.9006835175925502,0.8975641084453415,19566
LowVoltageQRS,LOWV,356,21443,356,216,0,21227,1.0,0.9899267826330271,0.6223776223776224,1.0,0.7672413793103449,0.9900912885912198,0.9949633913165136,0.8111888111888113,0.016331024358915546,0.026239735767695765,572
QWaveMI,"ALMI,AMI,ASMI,IMI,IPMI,LMI,POSTMI,QESPMI,SMI",4132,17667,3250,1938,882,15729,0.7865440464666021,0.8903039565291221,0.6264456437933693,0.9469026548672567,0.6974248927038627,0.8706362677187027,0.8384240014978621,0.7267251309229119,0.18954997935685122,0.23799256846644343,5188
LBBB,LBBB,566,21233,545,457,21,20776,0.9628975265017667,0.9784768991663919,0.5439121756487026,0.9989902389767755,0.6951530612244898,0.9780723886416808,0.9706872128340793,0.7538865245464949,0.02596449378411854,0.04596541125739713,1002
ProlongedQT,LNGQT,636,21163,417,264,219,20899,0.6556603773584906,0.9875253981004584,0.6123348017621145,0.9896296997821763,0.6332574031890661,0.9778430203220331,0.8215928877294745,0.639020755760587,0.0291756502591862,0.031239965136015412,681
RBBB,RBBB,721,21078,380,158,341,20920,0.5270457697642164,0.992504032640668,0.7063197026022305,0.9839612435915526,0.6036536934074662,0.9771090416991605,0.7597749012024422,0.6245041958832097,0.033074911693196936,0.024680031194091474,538
LVH,"LVH,LVH2,LVH3,QRSV",4108,17691,1589,3,2519,17688,0.3868062317429406,0.999830422248601,0.9981155778894473,0.8753402286336418,0.5575438596491228,0.884306619569705,0.6933183269957708,0.7502387845354471,0.1884490114225423,0.07303087297582458,1592
AtrialEnlargement,"BAE,LAE,RAE",588,21211,271,154,317,21057,0.4608843537414966,0.9927396162368582,0.6376470588235295,0.9851688967904931,0.5350444225074038,0.9783935042891876,0.7268119849891774,0.5565366820153448,0.026973714390568376,0.019496307170053673,425
RVH,"RVE+,RVH",44,21755,22,23,22,21732,0.5,0.9989427717766031,0.4888888888888889,0.9989886917348534,0.4943820224719101,0.9979356851231708,0.7494713858883015,0.49494905474766937,0.002018441212899674,0.0020643148768292124,45
