index,feature_id,csv_source,category
1,PP_ms,derived: 60000 / HR_Atrial_Global,global_interval
2,PR_ms,PR_Int_Global,global_interval
3,P_III_mV,P_Amp_III,per_lead_amplitude
4,P_II_mV,P_Amp_II,per_lead_amplitude
5,P_I_mV,P_Amp_I,per_lead_amplitude
6,P_V1_mV,P_Amp_V1,per_lead_amplitude
7,P_V2_mV,P_Amp_V2,per_lead_amplitude
8,P_V3_mV,P_Amp_V3,per_lead_amplitude
9,P_V4_mV,P_Amp_V4,per_lead_amplitude
10,P_V5_mV,P_Amp_V5,per_lead_amplitude
11,P_V6_mV,P_Amp_V6,per_lead_amplitude
12,P_aVF_mV,P_Amp_aVF,per_lead_amplitude
13,P_aVL_mV,P_Amp_aVL,per_lead_amplitude
14,P_aVR_mV,P_Amp_aVR,per_lead_amplitude
15,P_axis_deg,P_AxisFront_Global,global_axis
16,P_ms,P_Dur_Global,global_interval
17,QRS_III_ms,R_Dur_III+Q_Dur_III+S_Dur_III,per_lead_duration
18,QRS_II_ms,R_Dur_II+Q_Dur_II+S_Dur_II,per_lead_duration
19,QRS_I_ms,R_Dur_I+Q_Dur_I+S_Dur_I,per_lead_duration
20,QRS_V1_ms,R_Dur_V1+Q_Dur_V1+S_Dur_V1,per_lead_duration
21,QRS_V2_ms,R_Dur_V2+Q_Dur_V2+S_Dur_V2,per_lead_duration
22,QRS_V3_ms,R_Dur_V3+Q_Dur_V3+S_Dur_V3,per_lead_duration
23,QRS_V4_ms,R_Dur_V4+Q_Dur_V4+S_Dur_V4,per_lead_duration
24,QRS_V5_ms,R_Dur_V5+Q_Dur_V5+S_Dur_V5,per_lead_duration
25,QRS_V6_ms,R_Dur_V6+Q_Dur_V6+S_Dur_V6,per_lead_duration
26,QRS_aVF_ms,R_Dur_aVF+Q_Dur_aVF+S_Dur_aVF,per_lead_duration
27,QRS_aVL_ms,R_Dur_aVL+Q_Dur_aVL+S_Dur_aVL,per_lead_duration
28,QRS_aVR_ms,R_Dur_aVR+Q_Dur_aVR+S_Dur_aVR,per_lead_duration
29,QRS_axis_deg,R_AxisFrontal_Global,global_axis
30,QRS_ms,QRS_Dur_Global,global_interval
31,QT_ms,QT_Int_Global,global_interval
32,QTc_Bazett_ms,QT_IntBazett_Global,per_lead_duration
33,QTc_Framingham_ms,QT_IntFramingham_Global,per_lead_duration
34,QTc_Fridericia_ms,QT_IntFridericia_Global,per_lead_duration
35,Q_III_mV,Q_Amp_III (abs),per_lead_amplitude
36,Q_III_ms,Q_Dur_III,per_lead_duration
37,Q_II_mV,Q_Amp_II (abs),per_lead_amplitude
38,Q_II_ms,Q_Dur_II,per_lead_duration
39,Q_I_mV,Q_Amp_I (abs),per_lead_amplitude
40,Q_I_ms,Q_Dur_I,per_lead_duration
41,Q_V1_mV,Q_Amp_V1 (abs),per_lead_amplitude
42,Q_V1_ms,Q_Dur_V1,per_lead_duration
43,Q_V2_mV,Q_Amp_V2 (abs),per_lead_amplitude
44,Q_V2_ms,Q_Dur_V2,per_lead_duration
45,Q_V3_mV,Q_Amp_V3 (abs),per_lead_amplitude
46,Q_V3_ms,Q_Dur_V3,per_lead_duration
47,Q_V4_mV,Q_Amp_V4 (abs),per_lead_amplitude
48,Q_V4_ms,Q_Dur_V4,per_lead_duration
49,Q_V5_mV,Q_Amp_V5 (abs),per_lead_amplitude
50,Q_V5_ms,Q_Dur_V5,per_lead_duration
51,Q_V6_mV,Q_Amp_V6 (abs),per_lead_amplitude
52,Q_V6_ms,Q_Dur_V6,per_lead_duration
