disease,has_gt,F1_measurements_only,Sens_measurements_only,Spec_measurements_only,TP_measurements_only,FP_measurements_only,FN_measurements_only,F1_derived_flags,Sens_derived_flags,Spec_derived_flags,TP_derived_flags,FP_derived_flags,FN_derived_flags,F1_statement_flags,Sens_statement_flags,Spec_statement_flags,TP_statement_flags,FP_statement_flags,FN_statement_flags,F1_delta_derived_vs_meas,F1_delta_stmt_vs_meas
AbnormalQRSTAngle,True,0.03449150393101699,1.0,0.8248124798674704,68,3807,0,0.03449150393101699,1.0,0.8248124798674704,68,3807,0,0.03449150393101699,1.0,0.8248124798674704,68,3807,0,0.0,0.0
RBBB,True,0.5503258508327299,0.5270457697642164,0.9867160072113104,380,280,341,0.5469090909090909,0.521497919556172,0.9868108928740867,376,278,345,0.6036536934074662,0.5270457697642164,0.992504032640668,380,158,341,-0.00341675992363899,0.05332784257473633
Pacing,True,0.0,0.0,1.0,0,0,222,0.0,0.0,1.0,0,0,222,0.0,0.0,1.0,0,0,222,0.0,0.0
AcuteMISTEMI,True,0.13823529411764707,0.2640449438202247,0.978955644974793,47,455,131,0.2154566744730679,0.25842696629213485,0.9906109800656769,46,203,132,0.2160919540229885,0.2640449438202247,0.9902872207575968,47,210,131,0.07722138035542084,0.07785665990534144
PRInterval,True,0.0,0.0,1.0,0,0,1343,0.9355216881594373,0.8912881608339538,0.9990711771607352,1197,19,146,0.9988843436221644,1.0,0.9998533437622213,1343,3,0,0.9355216881594373,0.9988843436221644
ProlongedQT,True,0.6514369933677229,0.6949685534591195,0.9868166139016208,442,279,194,0.6509225092250922,0.6933962264150944,0.9868638661815433,441,278,195,0.6332574031890661,0.6556603773584906,0.9875253981004584,417,264,219,-0.0005144841426306668,-0.01817959017865678
PulmonaryDiseasePattern,True,0.36363636363636365,0.34375,0.998389694041868,22,35,42,0.36363636363636365,0.34375,0.998389694041868,22,35,42,0.36363636363636365,0.34375,0.998389694041868,22,35,42,0.0,0.0
QWaveMI,True,0.6702412868632708,0.7865440464666021,0.8689081338087961,3250,2316,882,0.6816783831282952,0.7509680542110359,0.8942095432161657,3103,1869,1029,0.6974248927038627,0.7865440464666021,0.8903039565291221,3250,1938,882,0.011437096265024427,0.027183605840591873
RVH,True,0.0,0.0,1.0,0,0,44,0.08695652173913043,0.045454545454545456,1.0,2,0,42,0.4943820224719101,0.5,0.9989427717766031,22,23,22,0.08695652173913043,0.4943820224719101
NonspecificSTElevation,True,0.02372479240806643,0.967741935483871,0.8866225652333701,30,2468,1,0.023790642347343377,0.967741935483871,0.886944138184491,30,2461,1,0.023781212841854936,0.967741935483871,0.8868981991914737,30,2462,1,6.584993927694766e-05,5.6420433788506585e-05
