disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires,eval_mode
SinusRhythm,"MSBRAD,NSR,SBRAD,SRTH,STACH",19634,2165,19415,151,219,2014,0.9888458795966181,0.9302540415704388,0.9922825309209854,0.9019256605463501,0.9905612244897959,0.983026744346071,0.9595499605835285,0.995587371459086,0.9006835175925502,0.8975641084453415,19566,measurements_only_no_flags
AVBlock,"AVDIS,CHB,MBZI,MBZII,SAV,VAVB,W2T1,W3T1,W4T1",201,21598,179,68,22,21530,0.8905472636815921,0.9968515603296602,0.7246963562753036,0.9989792130660727,0.7991071428571429,0.9958713702463415,0.9436994120056261,0.8081264202816728,0.009220606449837148,0.011330794990595899,247,measurements_only_no_flags
LowVoltageQRS,LOWV,356,21443,356,217,0,21226,1.0,0.9898801473674392,0.6212914485165794,1.0,0.7664155005382132,0.9900454149272903,0.9949400736837196,0.8106457242582896,0.016331024358915546,0.026285609431625303,573,measurements_only_no_flags
Hemiblocks,"AFB,IVCB,IVCD,PFB",844,20955,467,76,377,20879,0.5533175355450237,0.9963731806251491,0.860036832412523,0.9822638313887844,0.6733958183129055,0.9792192302399193,0.7748453580850865,0.7153243696294913,0.03871737235653012,0.02490939951373916,543,measurements_only_no_flags
QWaveMI,"ALMI,AMI,ASMI,IMI,IPMI,LMI,POSTMI,QESPMI,SMI",4132,17667,3250,2316,882,15351,0.7865440464666021,0.8689081338087961,0.583902263744161,0.9456662354463131,0.6702412868632708,0.8532960227533373,0.8277260901376992,0.7054534408983079,0.18954997935685122,0.2553328134318088,5566,measurements_only_no_flags
LBBB,LBBB,566,21233,545,542,21,20691,0.9628975265017667,0.9744736966043422,0.5013799448022079,0.9989860950173812,0.6594071385359952,0.9741731272076701,0.9686856115530544,0.7326204091232476,0.02596449378411854,0.04986467269140786,1087,measurements_only_no_flags
ProlongedQT,LNGQT,636,21163,442,279,194,20884,0.6949685534591195,0.9868166139016208,0.6130374479889042,0.9907960907106936,0.6514369933677229,0.9783017569613285,0.8408925836803701,0.658452746125177,0.0291756502591862,0.033074911693196936,721,measurements_only_no_flags
LVH,"LVH,LVH2,LVH3,QRSV",4108,17691,1673,274,2435,17417,0.4072541382667965,0.9845118987055564,0.8592706728299949,0.8773423332661696,0.5526011560693641,0.8757282444148814,0.6958830184861764,0.6891135913826083,0.1884490114225423,0.08931602367081058,1947,measurements_only_no_flags
RBBB,RBBB,721,21078,380,280,341,20798,0.5270457697642164,0.9867160072113104,0.5757575757575758,0.9838686787454468,0.5503258508327299,0.9715124546997569,0.7568808884877634,0.5592231324608823,0.033074911693196936,0.030276618193495114,660,measurements_only_no_flags
WPW,"WPW,WPWA,WPWB",49,21750,21,29,28,21721,0.42857142857142855,0.9986666666666667,0.42,0.998712584486643,0.42424242424242425,0.9973852011560164,0.7136190476190476,0.4249279455807278,0.0022478095325473646,0.002293683196476903,50,measurements_only_no_flags
