disease,variant,fires,fire_rate
AFib,AFib_AtrialRate_gt400,2,9.17473278590761e-05
AVBlock,AFib_RapidVentResponse,413,0.018945823202899215
AVBlock,CompleteHeartBlock,247,0.011330794990595899
AVBlock,AFib_SlowVentResponse,84,0.0038533877700811965
AbnormalQRSTAngle,AQRST_discordant_axes,3875,0.17776044772695995
AcuteMISTEMI,AcuteMI_concurrent_STEMI_and_Qwave,502,0.023028579292628103
AtrialEnlargement,LAE_literature_proxy,337,0.015459424744254324
AtrialEnlargement,RAE,133,0.006101197302628561
AtrialFlutter,AFL_atrial_rate_adult,0,0.0
AtrialFlutter,AFL_atrial_rate_pediatric,0,0.0
BiventricularHypertrophy,BIVH_RVH3of4_and_any_LVH,7,0.0003211156475067664
Brugada,Brugada_type1_V2,5,0.00022936831964769026
Brugada,Brugada_type1_V1,0,0.0
EctopicAtrialRhythm,EctopicAtrialBradycardia,0,0.0
EctopicAtrialRhythm,EctopicAtrialRhythm,0,0.0
EctopicAtrialRhythm,EctopicAtrialTachycardia,0,0.0
Ectopy,PVC_stub,0,0.0
ElectrodeReversals,Electrode_reversal_stub,0,0.0
Hemiblocks,IVCD_nonspecific,2846,0.1305564475434653
Hemiblocks,LAFB,543,0.02490939951373916
Hemiblocks,LPFB,0,0.0
IncompleteBundleBlocks,IRBBB,415,0.01903757053075829
IncompleteBundleBlocks,ILBBB,260,0.011927152621679893
IncompleteBundleBlocks,RSR_pattern_V1,22,0.001009220606449837
JunctionalRhythm,JunctionalBradycardia,0,0.0
JunctionalRhythm,JunctionalRhythm,0,0.0
JunctionalRhythm,JunctionalTachycardia,0,0.0
LBBB,LBBB_standard,1087,0.04986467269140786
LVH,R_in_aVL,1806,0.08284783705674573
LVH,Romhilt_Estes,357,0.016376898022845084
LVH,Sokolow_Lyon,0,0.0
LVH,Cornell_product,0,0.0
LowVoltageQRS,LowV_all_limb,359,0.01646864535070416
LowVoltageQRS,LowV_all_12,245,0.011239047662736822
NonspecificIVCB,IVCB_QRS_wide_no_BBB,571,0.026193862103766227
NonspecificSTDepression,NST_STJ_below_minus_0p05_two_leads_no_aVR,7161,0.328501307399422
NonspecificSTElevation,NST_ST_elevation_and_nontall_T,2498,0.11459241249598605
NonspecificTWave,NT_small_or_shallow_in_two_leads,15083,0.6919124730492224
PRInterval,FirstDegreeAVBlock,1243,0.0570209642644158
PRInterval,ShortPR,103,0.004724987384742419
Pacing,Paced_stub,0,0.0
PedBiventricularHypertrophy,Biventricular_hypertrophy_ped_voltage,0,0.0
PedEarlyRepolPericarditis,Early_Repolarization_ped,0,0.0
PedEarlyRepolPericarditis,Acute_Pericarditis_ped,0,0.0
PedEarlyRepolPericarditis,ST_elevation_mechanism_unknown_ped,0,0.0
PedNonspecificBlock,IVCD_IVCB_ped_wide_QRS_no_BBB,0,0.0
PedSTDepression,Septal_ST_depression_ped,0,0.0
PedSTDepression,Anterior_ST_depression_ped,0,0.0
PedSTDepression,Lateral_ST_depression_ped,0,0.0
PedSTDepression,Inferior_ST_depression_ped,0,0.0
PedSTDepression,Generalized_ST_depression_ped,0,0.0
PedSTDepression,Nonspecific_ST_ped,0,0.0
PedSTDepression,Junctional_ST_depression_ped,0,0.0
PediatricAtrialEnlargement,RAE_ped,0,0.0
PediatricAtrialEnlargement,LAE_ped,0,0.0
PediatricBrugada,Brugada_type1_V1_ped,0,0.0
PediatricBrugada,Brugada_type1_V2_ped,0,0.0
PediatricConduction,RBBB_ped,0,0.0
PediatricConduction,LBBB_ped,0,0.0
PediatricConduction,Nonspecific_IVCB_ped,0,0.0
PediatricDextrocardia,Dextrocardia_R_right_exceeds_left_proxy,0,0.0
PediatricLVH,LVH_voltage_Sokolow_proxy_ped,0,0.0
