Category,Disease,GT Codes (12SL Statements),GT Positives,GT Negatives,TP,FP,FN,TN,Sensitivity %,Specificity %,PPV %,NPV %,F1 %,Accuracy %,ROC AUC,PR AUC,Prevalence %,Fire Rate %,Total Fires
Adult,PRInterval,"FAV,SPR",1343,20456,1343,3,0,20453,100.0,99.99,99.78,100.0,99.89,99.99,1.0,0.999,6.16,6.17,1346
Adult,SinusRhythm,"MSBRAD,NSR,SBRAD,SRTH,STACH",19634,2165,19415,151,219,2014,98.88,93.03,99.23,90.19,99.06,98.3,0.96,0.996,90.07,89.76,19566
Adult,LowVoltageQRS,LOWV,356,21443,356,216,0,21227,100.0,98.99,62.24,100.0,76.72,99.01,0.995,0.811,1.63,2.62,572
Adult,QWaveMI,"ALMI,AMI,ASMI,IMI,IPMI,LMI,POSTMI,QESPMI,SMI",4132,17667,3250,1938,882,15729,78.65,89.03,62.64,94.69,69.74,87.06,0.838,0.727,18.95,23.8,5188
Adult,LBBB,LBBB,566,21233,545,457,21,20776,96.29,97.85,54.39,99.9,69.52,97.81,0.971,0.754,2.6,4.6,1002
Adult,ProlongedQT,LNGQT,636,21163,417,264,219,20899,65.57,98.75,61.23,98.96,63.33,97.78,0.822,0.639,2.92,3.12,681
Adult,RBBB,RBBB,721,21078,380,158,341,20920,52.7,99.25,70.63,98.4,60.37,97.71,0.76,0.625,3.31,2.47,538
Adult,LVH,"LVH,LVH2,LVH3,QRSV",4108,17691,1589,3,2519,17688,38.68,99.98,99.81,87.53,55.75,88.43,0.693,0.75,18.84,7.3,1592
Adult,AtrialEnlargement,"BAE,LAE,RAE",588,21211,271,154,317,21057,46.09,99.27,63.76,98.52,53.5,97.84,0.727,0.557,2.7,1.95,425
Adult,RVH,"RVE+,RVH",44,21755,22,23,22,21732,50.0,99.89,48.89,99.9,49.44,99.79,0.749,0.495,0.2,0.21,45
Adult,WPW,"WPW,WPWA,WPWB",49,21750,21,29,28,21721,42.86,99.87,42.0,99.87,42.42,99.74,0.714,0.425,0.22,0.23,50
Adult,TWaveIschemia,"ALT,AT,ILT,IT,LT,MALT,MAT,MILT,MIT,MLT,NSTT,NT",3608,18191,1254,1327,2354,16864,34.76,92.71,48.59,87.75,40.52,83.11,0.637,0.471,16.55,11.84,2581
Adult,NonspecificIVCB,"IVCB,IVCD",311,21488,170,401,141,21087,54.66,98.13,29.77,99.34,38.55,97.51,0.764,0.425,1.43,2.62,571
Adult,Hemiblocks,"AFB,IVCB,IVCD,PFB",844,20955,755,2379,89,18576,89.45,88.65,24.09,99.52,37.96,88.68,0.891,0.57,3.87,14.38,3134
Adult,AVBlock,"AVDIS,CHB,MBZI,MBZII,SAV,VAVB,W2T1,W3T1,W4T1",201,21598,179,565,22,21033,89.05,97.38,24.06,99.9,37.88,97.31,0.932,0.566,0.92,3.41,744
Adult,PulmonaryDiseasePattern,PULD,64,21735,22,35,42,21700,34.38,99.84,38.6,99.81,36.36,99.65,0.671,0.366,0.29,0.26,57
Adult,STDepressionIschemia,"ASBINJ,ISBINJ,JST,LSBINJ,MSTDAL,MSTDAS,MSTDIL,NST,SSBINJ,STDEP2",1404,20395,359,1088,1045,19307,25.57,94.67,24.81,94.87,25.18,90.22,0.601,0.276,6.44,6.64,1447
Adult,NonspecificTWave,"NSTT,NT,QRST",1955,19844,1847,13236,108,6608,94.48,33.3,12.25,98.39,21.68,38.79,0.639,0.536,8.97,69.19,15083
Adult,AcuteMISTEMI,STEMI,178,21621,47,210,131,21411,26.4,99.03,18.29,99.39,21.61,98.44,0.627,0.226,0.82,1.18,257
Adult,IncompleteBundleBlocks,"ILBBB,IRBBB",550,21249,82,609,468,20640,14.91,97.13,11.87,97.78,13.22,95.06,0.56,0.145,2.52,3.17,691
Adult,STElevationInjury,"AINJ,AIOHAI,ALIHAI,ALINJ,IINJ,IIOHAI,ILIHAI,ILINJ,LINJ,LIOHAI",63,21736,29,424,34,21312,46.03,98.05,6.4,99.84,11.24,97.9,0.72,0.263,0.29,2.08,453
Adult,AbnormalQRSTAngle,QRST,68,21731,68,3807,0,17924,100.0,82.48,1.75,100.0,3.45,82.54,0.912,0.509,0.31,17.78,3875
Adult,UndeterminedRhythm,UR,142,21657,33,1941,109,19716,23.24,91.04,1.67,99.45,3.12,90.6,0.571,0.127,0.65,9.06,1974
Adult,NonspecificSTElevation,"SERYR1,SERYR2",31,21768,30,2462,1,19306,96.77,88.69,1.2,99.99,2.38,88.7,0.927,0.49,0.14,11.43,2492
Adult,BiventricularHypertrophy,BIVH,16,21783,0,7,16,21776,0.0,99.97,0.0,99.93,0.0,99.89,0.5,0.0,0.07,0.03,7
Adult,AFib,AFIB,1396,20403,0,2,1396,20401,0.0,99.99,0.0,93.6,0.0,93.59,0.5,0.032,6.4,0.01,2
Adult,AtrialFlutter,FLUT,151,21648,0,0,151,21648,0.0,100.0,0.0,99.31,0.0,99.31,0.5,0.003,0.69,0.0,0
Adult,EctopicAtrialRhythm,"EABRAD,EAR,EATACH",68,21731,0,0,68,21731,0.0,100.0,0.0,99.69,0.0,99.69,0.5,0.002,0.31,0.0,0
Adult,Ectopy,"ABER,PAC,PSVC,PVC",2260,19539,0,0,2260,19539,0.0,100.0,0.0,89.63,0.0,89.63,0.5,0.052,10.37,0.0,0
Adult,ElectrodeReversals,ARM,23,21776,0,0,23,21776,0.0,100.0,0.0,99.89,0.0,99.89,0.5,0.001,0.11,0.0,0
Adult,JunctionalRhythm,"JR,JTACH,JUNBRAD,JUNCT-R",135,21664,0,0,135,21664,0.0,100.0,0.0,99.38,0.0,99.38,0.5,0.003,0.62,0.0,0
Adult,Pacing,"APR,ASVPR,AVDPR,VPR",222,21577,0,0,222,21577,0.0,100.0,0.0,98.98,0.0,98.98,0.5,0.005,1.02,0.0,0
Adult,SinusArrhythmia,"MSAR,SAR",1473,20326,0,0,1473,20326,0.0,100.0,0.0,93.24,0.0,93.24,0.5,0.034,6.76,0.0,0
Adult (No GT Mapping),NonspecificSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,32.85,7161
Adult (No GT Mapping),PoorRWaveProgression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,18.07,3938
Adult (No GT Mapping),QRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,13.92,3034
Adult (No GT Mapping),STElevationMechanismUnknown,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9.65,2104
Adult (No GT Mapping),PericarditisOrEarlyRepol,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,11
Adult (No GT Mapping),Brugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.02,5
Pediatric,PediatricAtrialEnlargement,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PedBiventricularHypertrophy,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricBrugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricConduction,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricDextrocardia,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PedEarlyRepolPericarditis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricLowVoltageQRS,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricLVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricQWaveMI,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PedNonspecificBlock,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricProlongedQT,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricQRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricRVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PedSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricSTElevation,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricTWave,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
Pediatric,PediatricWPW,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
