disease,scp_gt,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
LVH,"LVH,VCLVH",2354,19424,975,1630,1379,17794,0.41418861512319455,0.9160831960461285,0.3742802303262956,0.9280759401241329,0.3932244404113733,0.8618330425199743,0.6651359055846615,0.15502261026683867,0.10809073376802278,0.11961612636605749,2605
STDepressionIschemia,"ISCAL,ISCAN,ISCAS,ISCIL,ISCIN,ISCLA,ISC_,STD_",3002,18776,1453,3484,1549,15292,0.48401065956029315,0.8144439710268427,0.2943082843832287,0.9080220889495874,0.36604106310618467,0.7688952153549453,0.6492273152935679,0.14244834683838484,0.13784553218844706,0.22669666636054733,4937
RBBB,CRBBB,537,21241,345,1861,192,19380,0.6424581005586593,0.912386422484817,0.15639165911151406,0.9901900674432863,0.25154939846882973,0.9057305537698594,0.7774222615217381,0.10047508825600067,0.024657911653962715,0.10129488474607402,2206
PRInterval,1AVB,786,20992,353,2285,433,18707,0.4491094147582697,0.8911490091463414,0.13381349507202425,0.9773772204806688,0.20619158878504673,0.875195151069887,0.6701292119523056,0.06009690045855542,0.03609146845440352,0.12113141702635688,2638
AtrialEnlargement,"LAO/LAE,RAO/RAE",506,21272,60,121,446,21151,0.11857707509881422,0.99431177134261,0.3314917127071823,0.9793489836551373,0.17467248908296942,0.9739645513821288,0.5564444232207121,0.039307317712314105,0.02323445679125723,0.00831113968224814,181
RVH,RVH,126,21652,15,35,111,21617,0.11904761904761904,0.9983835211527804,0.3,0.9948913843888071,0.17045454545454544,0.9932959867756451,0.5587155701001998,0.03571428571428571,0.005785655248415833,0.0022958949398475524,50
Hemiblocks,"IVCD,LAFB,LPFB",2537,19241,1206,10732,1331,8509,0.47536460386283014,0.4422327321864768,0.10102194672474452,0.8647357723577236,0.1666321243523316,0.44609238681237945,0.4587986680246534,0.04802225768626011,0.11649370924786481,0.5481678758380016,11938
TWaveIschemia,"INVT,LOWT,NDT,NT_,TAB_",2594,19184,488,3185,2106,15999,0.18812644564379338,0.8339762301918265,0.1328614211815954,0.883678541839271,0.15573639700015957,0.757048397465332,0.51105133791781,0.02499474693007655,0.11911102947929103,0.16865644228120122,3673
NonspecificIVCB,IVCD,785,20993,388,6769,397,14224,0.4942675159235669,0.6775591863954652,0.05421265893530809,0.9728472744682306,0.09770838579702845,0.6709523372210487,0.585913351159516,0.026795556263566292,0.03604555055560658,0.3286344016897787,7157
IncompleteBundleBlocks,"ILBBB,IRBBB",1194,20584,85,689,1109,19895,0.0711892797319933,0.9665273999222698,0.10981912144702842,0.9472005332317653,0.08638211382113821,0.917439617963082,0.5188583398271316,0.00781794415661425,0.054825971163559556,0.035540453668840115,774
QWaveMI,"ALMI,AMI,ASMI,ILMI,IMI,IPLMI,IPMI,LMI,PMI",5283,16495,213,206,5070,16289,0.04031800113571834,0.9875113670809336,0.5083532219570406,0.7626293365794279,0.07471062784987724,0.7577371659472862,0.513914684108326,0.020495785780210038,0.2425842593442924,0.01923959959592249,419
LowVoltageQRS,LVOLT,182,21596,109,2637,73,18959,0.5989010989010989,0.8778940544545286,0.039694100509832485,0.9961643547709121,0.0744535519125683,0.8755624942602627,0.7383975766778138,0.023772840415229344,0.008357057581045092,0.12609055009642758,2746
ProlongedQT,LNGQT,117,21661,8,115,109,21546,0.06837606837606838,0.9946909191634735,0.06504065040650407,0.9949665204340798,0.06666666666666667,0.989714390669483,0.5315334937697709,0.0044472239594190825,0.005372394159243273,0.005647901552024979,123
