disease,variant,fires,fire_rate
AFib,AFib_AtrialRate_gt400,0,0.0
AVBlock,AFib_RapidVentResponse,441,0.020249793369455413
AVBlock,AFib_SlowVentResponse,97,0.004454036183304252
AVBlock,CompleteHeartBlock,0,0.0
AbnormalQRSTAngle,AQRST_discordant_axes,4662,0.21406924419138582
AcuteMISTEMI,AcuteMI_concurrent_STEMI_and_Qwave,130,0.005969326843603637
AtrialEnlargement,RAE,183,0.008402975479842043
AtrialEnlargement,LAE_literature_proxy,0,0.0
AtrialFlutter,AFL_atrial_rate_adult,0,0.0
AtrialFlutter,AFL_atrial_rate_pediatric,0,0.0
BiventricularHypertrophy,BIVH_RVH3of4_and_any_LVH,1,4.591789879695105e-05
Brugada,Brugada_type1_V2,13,0.0005969326843603636
Brugada,Brugada_type1_V1,9,0.00041326108917255947
EctopicAtrialRhythm,EctopicAtrialBradycardia,0,0.0
EctopicAtrialRhythm,EctopicAtrialRhythm,0,0.0
EctopicAtrialRhythm,EctopicAtrialTachycardia,0,0.0
Ectopy,PVC_stub,0,0.0
ElectrodeReversals,Electrode_reversal_stub,0,0.0
Hemiblocks,IVCD_nonspecific,11077,0.5086325649738268
Hemiblocks,LAFB,985,0.045229130314996785
Hemiblocks,LPFB,101,0.004637707778492056
IncompleteBundleBlocks,ILBBB,386,0.017724308935623104
IncompleteBundleBlocks,IRBBB,359,0.01648452566810543
IncompleteBundleBlocks,RSR_pattern_V1,47,0.0021581412434566994
JunctionalRhythm,JunctionalTachycardia,707,0.032463954449444395
JunctionalRhythm,JunctionalRhythm,469,0.02153549453577004
JunctionalRhythm,JunctionalBradycardia,8,0.0003673431903756084
LBBB,LBBB_standard,3631,0.16672789053172926
LVH,Cornell_product,2565,0.11777941041417944
LVH,R_in_aVL,591,0.02713747818899807
LVH,Sokolow_Lyon,549,0.025208926439526127
LVH,Romhilt_Estes,104,0.004775461474882909
LowVoltageQRS,LowV_all_limb,1674,0.07686656258609606
LowVoltageQRS,LowV_all_12,1646,0.07558086141978143
NonspecificIVCB,IVCB_QRS_wide_no_BBB,7157,0.3286344016897787
NonspecificSTDepression,NST_STJ_below_minus_0p05_two_leads_no_aVR,11403,0.5236017999816328
NonspecificSTElevation,NST_ST_elevation_and_nontall_T,2219,0.10189181743043438
NonspecificTWave,NT_small_or_shallow_in_two_leads,16081,0.7384057305537699
PRInterval,ShortPR,1556,0.07144825052805584
PRInterval,FirstDegreeAVBlock,1082,0.04968316649830104
Pacing,Paced_stub,0,0.0
PedBiventricularHypertrophy,Biventricular_hypertrophy_ped_voltage,0,0.0
PedEarlyRepolPericarditis,ST_elevation_mechanism_unknown_ped,3,0.00013775369639085317
PedEarlyRepolPericarditis,Early_Repolarization_ped,0,0.0
PedEarlyRepolPericarditis,Acute_Pericarditis_ped,0,0.0
PedNonspecificBlock,IVCD_IVCB_ped_wide_QRS_no_BBB,37,0.001698962255487189
PedSTDepression,Nonspecific_ST_ped,11,0.0005050968867664616
PedSTDepression,Lateral_ST_depression_ped,3,0.00013775369639085317
PedSTDepression,Junctional_ST_depression_ped,3,0.00013775369639085317
PedSTDepression,Generalized_ST_depression_ped,2,9.18357975939021e-05
PedSTDepression,Septal_ST_depression_ped,1,4.591789879695105e-05
PedSTDepression,Anterior_ST_depression_ped,1,4.591789879695105e-05
PedSTDepression,Inferior_ST_depression_ped,1,4.591789879695105e-05
PediatricAtrialEnlargement,RAE_ped,1,4.591789879695105e-05
PediatricAtrialEnlargement,LAE_ped,1,4.591789879695105e-05
PediatricBrugada,Brugada_type1_V1_ped,0,0.0
PediatricBrugada,Brugada_type1_V2_ped,0,0.0
PediatricConduction,Nonspecific_IVCB_ped,37,0.001698962255487189
PediatricConduction,LBBB_ped,31,0.0014234548627054826
PediatricConduction,RBBB_ped,7,0.00032142529157865734
PediatricDextrocardia,Dextrocardia_R_right_exceeds_left_proxy,0,0.0
PediatricLVH,LVH_with_strain_ped,1,4.591789879695105e-05
PediatricLVH,LVH_voltage_Sokolow_proxy_ped,0,0.0
PediatricLowVoltageQRS,LowV_limb_and_precordial_ped,7,0.00032142529157865734
PediatricLowVoltageQRS,LowV_all_limb_ped,0,0.0
PediatricProlongedQT,QTc_prolonged_ped,0,0.0
PediatricProlongedQT,QTc_borderline_ped,0,0.0
PediatricQRSAxis,Right_axis_deviation_ped,0,0.0
PediatricQRSAxis,Left_axis_deviation_ped,0,0.0
PediatricQRSAxis,Northwest_axis_ped,0,0.0
PediatricQRSAxis,Indeterminate_axis_ped,0,0.0
PediatricQWaveMI,Lateral_MI_ped,0,0.0
PediatricQWaveMI,Inferior_MI_ped,0,0.0
PediatricRVH,RVH_QR_pattern_V1_ped,7,0.00032142529157865734
PediatricRVH,RVH_with_strain_ped,4,0.0001836715951878042
PediatricRVH,RVH_with_repol_ped,1,4.591789879695105e-05
PediatricRVH,RVH_large_R_V1_ped,0,0.0
PediatricSTElevation,Anterior_ST_elevation_ped,1,4.591789879695105e-05
PediatricSTElevation,Lateral_ST_elevation_ped,1,4.591789879695105e-05
PediatricSTElevation,Inferior_ST_elevation_ped,0,0.0
PediatricTWave,Nonspecific_T_ped,25,0.0011479474699237762
PediatricTWave,TWI_lateral_ped,3,0.00013775369639085317
PediatricTWave,Abnormal_QRS_T_angle_ped,3,0.00013775369639085317
PediatricTWave,TWI_inferior_ped,2,9.18357975939021e-05
PediatricWPW,WPW_ped_PR_P_axis_proxy,0,0.0
PericarditisOrEarlyRepol,Acute_Pericarditis,22,0.0010101937735329232
PericarditisOrEarlyRepol,Early_Repolarization,17,0.0007806042795481679
PoorRWaveProgression,PRWP_morphology,6691,0.30723666085039947
ProlongedQT,QTc_480_to_500,146,0.006704013224354853
ProlongedQT,QTc_ge_500,120,0.005510147855634126
PulmonaryDiseasePattern,PULD_point_score,116,0.005326476260446322
QRSAxis,Left_axis_deviation,2701,0.12402424465056479
QRSAxis,Rightward_axis,428,0.01965286068509505
QRSAxis,Right_axis_deviation,268,0.012305996877582881
QRSAxis,Right_superior_axis_deviation,240,0.011020295711268252
QRSAxis,Indeterminate_axis,45,0.0020663054458627973
QWaveMI,Posterior_MI,247,0.01134172100284691
QWaveMI,Septal_MI,152,0.00697952061713656
QWaveMI,Anterior_MI,104,0.004775461474882909
QWaveMI,Inferior_MI,32,0.0014693727615024336
QWaveMI,Lateral_MI,3,0.00013775369639085317
RBBB,Complete_RBBB,2265,0.10400404077509413
RBBB,RBBB_with_RVH,2,9.18357975939021e-05
RVH,Possible_RVH_voltage_axis,57,0.00261732023142621
RVH,RVH_voltage_axis,11,0.0005050968867664616
RVH,RVH_with_RBBB,3,0.00013775369639085317
STDepressionIschemia,Generalized_ST_Depression,4686,0.21517127376251263
STDepressionIschemia,Junctional_ST_Depression,4149,0.1905133621085499
STDepressionIschemia,Inferior_Subendocardial,2726,0.12517219212048858
STDepressionIschemia,Lateral_Subendocardial,2088,0.09587657268803379
STDepressionIschemia,Anterior_Subendocardial,2033,0.09335108825420149
STDepressionIschemia,Septal_Subendocardial,1342,0.06162182018550831
STElevationInjury,Anterior_STEMI,1591,0.07305537698594912
STElevationInjury,Lateral_STEMI,688,0.03159151437230232
STElevationInjury,Inferior_STEMI,343,0.01574983928735421
STElevationMechanismUnknown,SERYR1_STJ_two_leads_over_0p10,4126,0.18945725043622003
SinusArrhythmia,SAR_stub,0,0.0
SinusArrhythmia,MSAR_stub,0,0.0
SinusRhythm,MarkedSinusBradycardia,0,0.0
SinusRhythm,SinusBradycardia,0,0.0
SinusRhythm,NormalSinusRhythm,0,0.0
SinusRhythm,SinusTachycardia,0,0.0
TWaveIschemia,Lateral_T_Inversion,2832,0.1300394893929654
TWaveIschemia,Inferior_T_Inversion,1573,0.072228854807604
TWaveIschemia,Anterior_T_Inversion,1393,0.06396363302415281
TWaveIschemia,Anterior_T_Inversion_Marked,513,0.02355588208283589
TWaveIschemia,Lateral_T_Inversion_Marked,169,0.0077601248966847275
TWaveIschemia,Inferior_T_Inversion_Marked,147,0.0067499311231518045
UndeterminedRhythm,WideQRSRhythm,8451,0.38805216273303333
UndeterminedRhythm,WideQRSTachycardia,187,0.008586647075029846
UndeterminedRhythm,SVT,58,0.002663238130223161
UndeterminedRhythm,IdioventricularRhythm,21,0.000964275874735972
WPW,WPW_PR_proxy,771,0.03540269997244926
