disease,tp,fp,fn,tn,prevalence,sensitivity,specificity,ppv,npv,f1,fire_rate,scp_gt_codes
AFib,1510,0,0,20268,0.06933602718339608,1.0,1.0,1.0,1.0,1.0,0.06933602718339608,AFIB
AtrialFlutter,70,0,0,21708,0.0032142529157865737,1.0,1.0,1.0,1.0,1.0,0.0032142529157865737,AFLT
LVH,975,1630,1379,17794,0.10809073376802278,0.41418861512319455,0.9160831960461285,0.3742802303262956,0.9280759401241329,0.3932244404113733,0.11961612636605749,"LVH,VCLVH"
STDepressionIschemia,1453,3484,1549,15292,0.13784553218844706,0.48401065956029315,0.8144439710268427,0.2943082843832287,0.9080220889495874,0.36604106310618467,0.22669666636054733,"ISCAL,ISCAN,ISCAS,ISCIL,ISCIN,ISCLA,ISC_,STD_"
RBBB,345,1861,192,19380,0.024657911653962715,0.6424581005586593,0.912386422484817,0.15639165911151406,0.9901900674432863,0.25154939846882973,0.10129488474607402,CRBBB
AtrialEnlargement,60,121,446,21151,0.02323445679125723,0.11857707509881422,0.99431177134261,0.3314917127071823,0.9793489836551373,0.17467248908296942,0.00831113968224814,"LAO/LAE,RAO/RAE"
RVH,15,35,111,21617,0.005785655248415833,0.11904761904761904,0.9983835211527804,0.3,0.9948913843888071,0.17045454545454544,0.0022958949398475524,RVH
Hemiblocks,1206,10732,1331,8509,0.11649370924786481,0.47536460386283014,0.4422327321864768,0.10102194672474452,0.8647357723577236,0.1666321243523316,0.5481678758380016,"IVCD,LAFB,LPFB"
TWaveIschemia,488,3185,2106,15999,0.11911102947929103,0.18812644564379338,0.8339762301918265,0.1328614211815954,0.883678541839271,0.15573639700015957,0.16865644228120122,"INVT,LOWT,NDT,NT_,TAB_"
WPW,40,572,39,21127,0.003627514004959133,0.5063291139240507,0.973639338218351,0.06535947712418301,0.9981574222810167,0.11577424023154848,0.028101754063734042,WPW
IncompleteBundleBlocks,85,689,1109,19895,0.054825971163559556,0.0711892797319933,0.9665273999222698,0.10981912144702842,0.9472005332317653,0.08638211382113821,0.035540453668840115,"ILBBB,IRBBB"
QWaveMI,213,206,5070,16289,0.2425842593442924,0.04031800113571834,0.9875113670809336,0.5083532219570406,0.7626293365794279,0.07471062784987724,0.01923959959592249,"ALMI,AMI,ASMI,ILMI,IMI,IPLMI,IPMI,LMI,PMI"
LowVoltageQRS,109,2637,73,18959,0.008357057581045092,0.5989010989010989,0.8778940544545286,0.039694100509832485,0.9961643547709121,0.0744535519125683,0.12609055009642758,LVOLT
ProlongedQT,8,115,109,21546,0.005372394159243273,0.06837606837606838,0.9946909191634735,0.06504065040650407,0.9949665204340798,0.06666666666666667,0.005647901552024979,LNGQT
LBBB,103,3492,429,17754,0.02442832215997796,0.19360902255639098,0.835639649816436,0.028650904033379693,0.9764065335753176,0.049915192633874485,0.16507484617503904,CLBBB
STElevationInjury,37,1812,314,19615,0.016117182477729818,0.10541310541310542,0.9154337984785551,0.020010816657652784,0.9842440664358473,0.03363636363636364,0.0849021948755625,"INJAL,INJAS,INJIL,INJIN,INJLA,STE_"
QRSAxis,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(none)
Brugada,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(none)
PericarditisOrEarlyRepol,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(none)
