disease,variant,fires,fp_on_norm,fire_rate,fp_rate_on_norm
AFib,AFib_Test1_Irregular,1510,37,0.06933602718339608,0.001698962255487189
AFib,AFib_Test2_AtrialRate,0,0,0.0,0.0
AtrialEnlargement,RAE,183,33,0.008402975479842043,0.0015152906602993847
AtrialEnlargement,LAE_literature_proxy,0,0,0.0,0.0
AtrialFlutter,AFL_via_ge_flag,70,0,0.0032142529157865737,0.0
AtrialFlutter,AFL_atrial_rate_adult,0,0,0.0,0.0
AtrialFlutter,AFL_atrial_rate_pediatric,0,0,0.0,0.0
Brugada,Brugada_type1_V2,13,0,0.0005969326843603636,0.0
Brugada,Brugada_type1_V1,9,0,0.00041326108917255947,0.0
Hemiblocks,IVCD_nonspecific,11077,5505,0.5086325649738268,0.25277803287721556
Hemiblocks,LAFB,985,79,0.045229130314996785,0.003627514004959133
Hemiblocks,LPFB,101,12,0.004637707778492056,0.0005510147855634127
IncompleteBundleBlocks,ILBBB,386,115,0.017724308935623104,0.005280558361649371
IncompleteBundleBlocks,IRBBB,359,100,0.01648452566810543,0.004591789879695105
IncompleteBundleBlocks,RSR_pattern_V1,47,0,0.0021581412434566994,0.0
LBBB,LBBB_standard,3631,1526,0.16672789053172926,0.0700707135641473
LVH,Cornell_product,2565,395,0.11777941041417944,0.018137570024795664
LVH,R_in_aVL,591,18,0.02713747818899807,0.0008265221783451189
LVH,Sokolow_Lyon,549,28,0.025208926439526127,0.0012857011663146294
LVH,Romhilt_Estes,104,1,0.004775461474882909,4.591789879695105e-05
LowVoltageQRS,LowV_all_limb,1674,625,0.07686656258609606,0.028698686748094407
LowVoltageQRS,LowV_all_12,1646,680,0.07558086141978143,0.031224171181926715
PericarditisOrEarlyRepol,Acute_Pericarditis,22,3,0.0010101937735329232,0.00013775369639085317
PericarditisOrEarlyRepol,Early_Repolarization,17,4,0.0007806042795481679,0.0001836715951878042
ProlongedQT,QTc_480_to_500,146,9,0.006704013224354853,0.00041326108917255947
ProlongedQT,QTc_ge_500,120,3,0.005510147855634126,0.00013775369639085317
QRSAxis,Left_axis_deviation,2701,275,0.12402424465056479,0.01262742216916154
QRSAxis,Rightward_axis,428,197,0.01965286068509505,0.009045826062999357
QRSAxis,Right_axis_deviation,268,40,0.012305996877582881,0.0018367159518780421
QRSAxis,Right_superior_axis_deviation,240,19,0.011020295711268252,0.00087244007714207
QRSAxis,Indeterminate_axis,45,18,0.0020663054458627973,0.0008265221783451189
QWaveMI,Posterior_MI,247,71,0.01134172100284691,0.0032601708145835245
QWaveMI,Septal_MI,152,3,0.00697952061713656,0.00013775369639085317
QWaveMI,Anterior_MI,104,0,0.004775461474882909,0.0
QWaveMI,Inferior_MI,32,2,0.0014693727615024336,9.18357975939021e-05
QWaveMI,Lateral_MI,3,0,0.00013775369639085317,0.0
RBBB,Complete_RBBB,2265,562,0.10400404077509413,0.025805859123886492
RBBB,RBBB_with_RVH,2,0,9.18357975939021e-05,0.0
RVH,Possible_RVH_voltage_axis,57,1,0.00261732023142621,4.591789879695105e-05
RVH,RVH_voltage_axis,11,0,0.0005050968867664616,0.0
RVH,RVH_with_RBBB,3,0,0.00013775369639085317,0.0
STDepressionIschemia,Generalized_ST_Depression,4686,692,0.21517127376251263,0.03177518596749013
STDepressionIschemia,Junctional_ST_Depression,4149,701,0.1905133621085499,0.03218844705666269
STDepressionIschemia,Inferior_Subendocardial,2726,483,0.12517219212048858,0.022178345118927356
STDepressionIschemia,Lateral_Subendocardial,2088,232,0.09587657268803379,0.010652952520892644
STDepressionIschemia,Anterior_Subendocardial,2033,254,0.09335108825420149,0.011663146294425566
STDepressionIschemia,Septal_Subendocardial,1342,216,0.06162182018550831,0.009918266140141426
STElevationInjury,Anterior_STEMI,1591,228,0.07305537698594912,0.01046928092570484
STElevationInjury,Lateral_STEMI,688,26,0.03159151437230232,0.0011938653687207272
STElevationInjury,Inferior_STEMI,343,44,0.01574983928735421,0.0020203875470658464
TWaveIschemia,Lateral_T_Inversion,2832,27,0.1300394893929654,0.0012397832675176783
TWaveIschemia,Inferior_T_Inversion,1573,144,0.072228854807604,0.0066121774267609516
TWaveIschemia,Anterior_T_Inversion,1393,44,0.06396363302415281,0.0020203875470658464
TWaveIschemia,Anterior_T_Inversion_Marked,513,19,0.02355588208283589,0.00087244007714207
TWaveIschemia,Lateral_T_Inversion_Marked,169,0,0.0077601248966847275,0.0
TWaveIschemia,Inferior_T_Inversion_Marked,147,1,0.0067499311231518045,4.591789879695105e-05
WPW,WPW_PR_proxy,771,243,0.03540269997244926,0.011158049407659106
WPW,WPW_via_ge_flag,41,0,0.0018826338506749932,0.0
